"","geo_code","time","CAGR","IndName","Direction","IndWeight","Agg_KC","Agg_NC","Agg_OBJ","X","X.1","X.2","X.3","X.4","CAGRcorrdir","meannc","meankc","meanobj"
"40","EU27_2020",2017,0.103087478524144,"3.1.c.5   W091 hh",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,-0.103087478524144,2.74839412401584,2.97017036002888,1.86767423035113
"41","EU27_2020",2017,-0.90686775031551,"3.1.c.5   W091 ind",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,0.90686775031551,2.74839412401584,2.97017036002888,1.86767423035113
"42","EU27_2020",2017,1.53014937437574,"3.1.c.5   W092 hh",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,-1.53014937437574,2.74839412401584,2.97017036002888,1.86767423035113
"43","EU27_2020",2017,1.13271120552847,"3.1.c.5   W092 ind",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,-1.13271120552847,2.74839412401584,2.97017036002888,1.86767423035113
"44","EU27_2020",2017,2.62304198982393,"3.1.c.5   W093 ind",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,-2.62304198982393,2.74839412401584,2.97017036002888,1.86767423035113
"45","EU27_2020",2017,-1.57494419786793,"3.1.c.5   W7376 hh",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,1.57494419786793,2.74839412401584,2.97017036002888,1.86767423035113
"46","EU27_2020",2017,-0.975514949529077,"3.1.c.5   W9999 hh",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,0.975514949529077,2.74839412401584,2.97017036002888,1.86767423035113
"47","EU27_2020",2017,-6.21700841872727,"3.1.c.6   DSP W072 hh",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,6.21700841872727,2.74839412401584,2.97017036002888,1.86767423035113
"48","EU27_2020",2017,-5.37328905857312,"3.1.c.6   DSP W072 ind",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,5.37328905857312,2.74839412401584,2.97017036002888,1.86767423035113
"49","EU27_2020",2017,-8.61520280180375,"3.1.c.6   DSP W073 ind",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,8.61520280180375,2.74839412401584,2.97017036002888,1.86767423035113
"50","EU27_2020",2017,-8.33485405916564,"3.1.c.6   DSP W075 hh",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,8.33485405916564,2.74839412401584,2.97017036002888,1.86767423035113
"51","EU27_2020",2017,-16.4215547146693,"3.1.c.6   DSP W075 ind",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,16.4215547146693,2.74839412401584,2.97017036002888,1.86767423035113
"52","EU27_2020",2017,-3.32691447833819,"3.1.c.6   DSP W076 ind",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,3.32691447833819,2.74839412401584,2.97017036002888,1.86767423035113
"53","EU27_2020",2017,-6.186266084076,"3.1.c.6   DSP W091 hh",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,6.186266084076,2.74839412401584,2.97017036002888,1.86767423035113
"54","EU27_2020",2017,-6.56940563580594,"3.1.c.6   DSP W091 ind",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,6.56940563580594,2.74839412401584,2.97017036002888,1.86767423035113
"55","EU27_2020",2017,-6.87522085783665,"3.1.c.6   DSP W092 hh",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,6.87522085783665,2.74839412401584,2.97017036002888,1.86767423035113
"56","EU27_2020",2017,-12.7397558106687,"3.1.c.6   DSP W092 ind",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,12.7397558106687,2.74839412401584,2.97017036002888,1.86767423035113
"57","EU27_2020",2017,-2.76203764589654,"3.1.c.6   DSP W093 ind",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,2.76203764589654,2.74839412401584,2.97017036002888,1.86767423035113
"58","EU27_2020",2017,-6.41144154620501,"3.1.c.6   DSP W7376 hh",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,6.41144154620501,2.74839412401584,2.97017036002888,1.86767423035113
"59","EU27_2020",2017,-6.25866373037475,"3.1.c.6   DSP W9999 hh",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,6.25866373037475,2.74839412401584,2.97017036002888,1.86767423035113
"60","EU27_2020",2017,1.52767235742106,"3.1.c.6   RCV W072 hh",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,1.52767235742106,2.74839412401584,2.97017036002888,1.86767423035113
"61","EU27_2020",2017,0.993493996098294,"3.1.c.6   RCV W072 ind",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,0.993493996098294,2.74839412401584,2.97017036002888,1.86767423035113
"62","EU27_2020",2017,3.74537320771615,"3.1.c.6   RCV W073 ind",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,3.74537320771615,2.74839412401584,2.97017036002888,1.86767423035113
"63","EU27_2020",2017,4.56326586481284,"3.1.c.6   RCV W075 hh",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,4.56326586481284,2.74839412401584,2.97017036002888,1.86767423035113
"64","EU27_2020",2017,-1.34880840802559,"3.1.c.6   RCV W075 ind",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,-1.34880840802559,2.74839412401584,2.97017036002888,1.86767423035113
"65","EU27_2020",2017,4.01058593258137,"3.1.c.6   RCV W076 ind",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,4.01058593258137,2.74839412401584,2.97017036002888,1.86767423035113
"66","EU27_2020",2017,5.00719296434131,"3.1.c.6   RCV W091 hh",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,5.00719296434131,2.74839412401584,2.97017036002888,1.86767423035113
"67","EU27_2020",2017,0.195931085496315,"3.1.c.6   RCV W091 ind",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,0.195931085496315,2.74839412401584,2.97017036002888,1.86767423035113
"68","EU27_2020",2017,2.66248817869703,"3.1.c.6   RCV W092 hh",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,2.66248817869703,2.74839412401584,2.97017036002888,1.86767423035113
"69","EU27_2020",2017,1.87719807354298,"3.1.c.6   RCV W092 ind",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,1.87719807354298,2.74839412401584,2.97017036002888,1.86767423035113
"70","EU27_2020",2017,3.15792813734328,"3.1.c.6   RCV W093 ind",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,3.15792813734328,2.74839412401584,2.97017036002888,1.86767423035113
"71","EU27_2020",2017,0.535719568879034,"3.1.c.6   RCV W7376 hh",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,0.535719568879034,2.74839412401584,2.97017036002888,1.86767423035113
"72","EU27_2020",2017,5.08070291422178,"3.1.c.6   RCV W9999 hh",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,5.08070291422178,2.74839412401584,2.97017036002888,1.86767423035113
"73","EU27_2020",2017,0.934789554626581,"3.2.a.1   Consumption",-1,1,"FoodLoss","FoodLossCascade","Defossilization",NA,NA,NA,NA,NA,-0.934789554626581,-1.28620105451106,-1.28620105451106,1.86767423035113
"74","EU27_2020",2017,0.831385476510138,"3.2.a.1   Primary production",-1,1,"FoodLoss","FoodLossCascade","Defossilization",NA,NA,NA,NA,NA,-0.831385476510138,-1.28620105451106,-1.28620105451106,1.86767423035113
"75","EU27_2020",2017,0.938085439196135,"3.2.a.1   Processing Manufacturing",-1,1,"FoodLoss","FoodLossCascade","Defossilization",NA,NA,NA,NA,NA,-0.938085439196135,-1.28620105451106,-1.28620105451106,1.86767423035113
"76","EU27_2020",2017,1.11829681428239,"3.2.a.1   Retail Distribution",-1,1,"FoodLoss","FoodLossCascade","Defossilization",NA,NA,NA,NA,NA,-1.11829681428239,-1.28620105451106,-1.28620105451106,1.86767423035113
"77","EU27_2020",2017,1.29632646348286,"3.2.a.2   Cereals",-1,1,"FoodLoss","FoodLossCascade","Defossilization",NA,NA,NA,NA,NA,-1.29632646348286,-1.28620105451106,-1.28620105451106,1.86767423035113
"78","EU27_2020",2017,0.472154365206223,"3.2.a.2   Dairy",-1,1,"FoodLoss","FoodLossCascade","Defossilization",NA,NA,NA,NA,NA,-0.472154365206223,-1.28620105451106,-1.28620105451106,1.86767423035113
"79","EU27_2020",2017,1.2815133343363,"3.2.a.2   Eggs",-1,1,"FoodLoss","FoodLossCascade","Defossilization",NA,NA,NA,NA,NA,-1.2815133343363,-1.28620105451106,-1.28620105451106,1.86767423035113
"80","EU27_2020",2017,1.00933206244538,"3.2.a.2   Fish",-1,1,"FoodLoss","FoodLossCascade","Defossilization",NA,NA,NA,NA,NA,-1.00933206244538,-1.28620105451106,-1.28620105451106,1.86767423035113
"81","EU27_2020",2017,0.213515890646776,"3.2.a.2   Fruits",-1,1,"FoodLoss","FoodLossCascade","Defossilization",NA,NA,NA,NA,NA,-0.213515890646776,-1.28620105451106,-1.28620105451106,1.86767423035113
"82","EU27_2020",2017,-0.481983907066141,"3.2.a.2   Meat",-1,1,"FoodLoss","FoodLossCascade","Defossilization",NA,NA,NA,NA,NA,0.481983907066141,-1.28620105451106,-1.28620105451106,1.86767423035113
"83","EU27_2020",2017,2.4520903749081,"3.2.a.2   Oilcrops",-1,1,"FoodLoss","FoodLossCascade","Defossilization",NA,NA,NA,NA,NA,-2.4520903749081,-1.28620105451106,-1.28620105451106,1.86767423035113
"84","EU27_2020",2017,1.29336054365059,"3.2.a.2   Potatoes",-1,1,"FoodLoss","FoodLossCascade","Defossilization",NA,NA,NA,NA,NA,-1.29336054365059,-1.28620105451106,-1.28620105451106,1.86767423035113
"85","EU27_2020",2017,5.32835446209914,"3.2.a.2   Sugarbeets",-1,1,"FoodLoss","FoodLossCascade","Defossilization",NA,NA,NA,NA,NA,-5.32835446209914,-1.28620105451106,-1.28620105451106,1.86767423035113
