geo_code,time,value,type,indicator_id
HR,2011,0.67,fellings,2.2.a.1
HR,2012,0.81,fellings,2.2.a.1
HR,2013,0.63,fellings,2.2.a.1
HR,2014,0.58,fellings,2.2.a.1
HR,2015,0.66,fellings,2.2.a.1
IT,2000,0.44,fellings,2.2.a.1
IT,2001,0.38,fellings,2.2.a.1
IT,2002,0.35,fellings,2.2.a.1
IT,2003,0.40,fellings,2.2.a.1
IT,2004,0.41,fellings,2.2.a.1
IT,2005,0.41,fellings,2.2.a.1
IT,2006,0.41,fellings,2.2.a.1
IT,2007,0.47,fellings,2.2.a.1
IT,2008,0.44,fellings,2.2.a.1
IT,2009,0.42,fellings,2.2.a.1
IT,2010,0.40,fellings,2.2.a.1
IT,2011,0.35,fellings,2.2.a.1
IT,2012,0.46,fellings,2.2.a.1
IT,2013,0.39,fellings,2.2.a.1
IT,2014,0.39,fellings,2.2.a.1
IT,2015,0.29,fellings,2.2.a.1
LV,2000,0.69,fellings,2.2.a.1
LV,2001,0.65,fellings,2.2.a.1
LV,2002,0.71,fellings,2.2.a.1
LV,2003,0.76,fellings,2.2.a.1
LV,2004,0.72,fellings,2.2.a.1
LV,2005,0.73,fellings,2.2.a.1
LV,2006,0.65,fellings,2.2.a.1
LV,2007,0.67,fellings,2.2.a.1
LV,2008,0.61,fellings,2.2.a.1
LV,2009,0.69,fellings,2.2.a.1
LV,2010,0.83,fellings,2.2.a.1
LV,2011,0.81,fellings,2.2.a.1
LV,2012,0.79,fellings,2.2.a.1
LV,2013,0.78,fellings,2.2.a.1
LV,2014,0.88,fellings,2.2.a.1
LV,2015,0.90,fellings,2.2.a.1
LT,2000,0.89,fellings,2.2.a.1
LT,2001,1.01,fellings,2.2.a.1
LT,2002,1.02,fellings,2.2.a.1
LT,2003,1.06,fellings,2.2.a.1
LT,2004,1.03,fellings,2.2.a.1
LT,2005,1.02,fellings,2.2.a.1
LT,2006,0.97,fellings,2.2.a.1
LT,2007,0.98,fellings,2.2.a.1
LT,2008,0.98,fellings,2.2.a.1
